career_goal,required_skills,priority_courses,suggested_projects
Computer Vision Engineer,C++;OpenCV;ROS2;TensorFlow;CV;PyTorch,Tương tác người - Robot;Các vấn đề hiện đại trong Kỹ thuật Robot;Toán ứng dụng trong kỹ thuật Robot,Hệ thống tracking camera;Robot tự hành mô phỏng;Robot nhận diện vật thể
Navigation Algorithm Engineer,Lidar;Ubuntu;SLAM;Navigation2;C++,Các vấn đề hiện đại trong Kỹ thuật Robot;Động học và động lực học Robot;Nhập môn công nghệ số và ứng dụng AI,Robot 4 bánh Omni với SLAM;Xe tự hành AGV trong nhà kho;Thuật toán tránh vật cản
IoT Robotics Engineer,C/C++;Cloud/AWS;MQTT;Python;Node-RED;IoT Protocols,Các vấn đề hiện đại trong Kỹ thuật Robot;Nhập môn công nghệ số và ứng dụng AI;Cảm biến và đo lường;Vi điều khiển và ứng dụng,Giám sát robot từ xa qua MQTT;Robot điều khiển qua Web;Nhà thông minh với robot hút bụi
Microcontroller Programmer,Control;I2C/SPI/UART;Microcontroller;STM32;Sensor,Cảm biến và đo lường;Xử lý tín hiệu số;Vi điều khiển và ứng dụng;Điện tử công suất và điều khiển,Bộ lọc số IIR/FIR cho cảm biến;Giao tiếp cảm biến IMU
Embedded Robotics Engineer,STM32;Microcontroller;Control;C/C++,Vi điều khiển và ứng dụng;Đồ án ngành Kỹ thuật robot;Xử lý tín hiệu số,Firmware cho STM32F401RE;Bộ lọc số IIR/FIR cho cảm biến
Industrial Automation Engineer,Power Electronics;Industrial Networks;PLC;Control;HMI;SCADA,Điều khiển logic và PLC;Các vấn đề hiện đại trong Kỹ thuật Robot;Toán ứng dụng trong kỹ thuật Robot;Điện tử công suất và điều khiển,Điều khiển động cơ;Băng tải phân loại
AI Robotics Engineer,ML;C++;TensorFlow;PyTorch;OpenCV;CV,Các vấn đề hiện đại trong Kỹ thuật Robot;Nhập môn công nghệ số và ứng dụng AI;Toán ứng dụng trong kỹ thuật Robot;Tương tác người - Robot,Robot nhận diện vật thể;Nhận diện hành vi con người
Motion Planning Engineer,Python;Control Theory;PID Tuning;Kinematics;MATLAB/Simulink;ROS2,Toán ứng dụng trong kỹ thuật Robot;Động học và động lực học Robot;Lý thuyết điều khiển;Tương tác người - Robot,Xe 2 bánh tự cân bằng;Hoạch định quỹ đạo tay máy;Mô phỏng tay máy 6 bậc tự do
Kinematics & Dynamics Specialist,MATLAB/Simulink;Control Theory;Dynamics;Kinematics,Động học và động lực học Robot;Tương tác người - Robot;Toán ứng dụng trong kỹ thuật Robot;Lý thuyết điều khiển,Xe 2 bánh tự cân bằng;Hoạch định quỹ đạo tay máy;Mô phỏng tay máy 6 bậc tự do
AI Robotics Engineer,OpenCV;SLAM;ML;CV;TensorFlow,Các vấn đề hiện đại trong Kỹ thuật Robot;Nhập môn công nghệ số và ứng dụng AI;Tương tác người - Robot,Nhận diện hành vi con người;Robot nhận diện vật thể
Smart Home Robotics Specialist,WiFi/Bluetooth;Python;Cloud/AWS;IoT Protocols,Cảm biến và đo lường;Nhập môn công nghệ số và ứng dụng AI;Vi điều khiển và ứng dụng,Nhà thông minh với robot hút bụi;Robot điều khiển qua Web
